Primer Autor	Año Publicación	Tipo Producto	Journal	
M. M. Rahman	2020	CONF	2020 IEEE Frontiers in Education Conference (FIE)	
M. Coenraad	2020	CONF	2020 Research on Equity and Sustained Participation in Engineering, Computing, and Technology (RESPECT)	
F. Moreno-Vera	2019	CONF	2019 IEEE World Conference on Engineering Education (EDUNINE)	
T. . -J. Lin	2022	CONF	2022 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)	
D. Yang	2022	CONF	2022 IEEE Integrated STEM Education Conference (ISEC)	
C. Boya-Lara	2022	CONF	2022 IEEE 40th Central America and Panama Convention (CONCAPAN)	
H. Lim	2017	CONF	2017 IEEE 5th International Conference on Serious Games and Applications for Health (SeGAH)	
Z. Ma	2020	CONF	2020 Ninth International Conference of Educational Innovation through Technology (EITT)	
C. F. Rodrigues	2021	CONF	2021 XVI Latin American Conference on Learning Technologies (LACLO)	
P. Šaloun	2022	CONF	2022 IEEE 16th International Scientific Conference on Informatics (Informatics)	
J. Ye	2021	CONF	2021 IEEE Global Engineering Education Conference (EDUCON)	
E. Castro	2019	CONF	2019 IEEE 19th International Conference on Advanced Learning Technologies (ICALT)	
A. L. S. Oliveira	2021	CONF	2021 IEEE Frontiers in Education Conference (FIE)	
Y. Liu	2019	CONF	2019 IEEE R10 Humanitarian Technology Conference (R10-HTC)(47129)	
M. Tissenbaum	2017	CONF	2017 IEEE Global Engineering Education Conference (EDUCON)	
Mingzhu Li	2010	CONF	2010 IEEE 11th International Conference on Computer-Aided Industrial Design & Conceptual Design 1	
H. Al-Juboori	2024	CONF	2024 IEEE Global Engineering Education Conference (EDUCON)	
J. Liu	2010	CONF	2010 Second International Workshop on Education Technology and Computer Science	
F. Li	2016	CONF	2016 11th International Conference on Computer Science & Education (ICCSE)	
T. Lertlapnon	2022	CONF	2022 14th International Conference on Information Technology and Electrical Engineering (ICITEE)	
R. Costa	2022	CONF	2022 International Symposium on Computers in Education (SIIE)	
M. S. Peteranetz	2017	JOUR	IEEE Transactions on Education	
Z. Tahir	2019	CONF	2019 Fourth International Conference on Informatics and Computing (ICIC)	
A. L. S. O. de Araujo	2016	CONF	2016 IEEE Frontiers in Education Conference (FIE)	
N. V. Mendoza Diaz	2023	JOUR	IEEE Access	
C. Bain	2019	CONF	2019 IEEE Blocks and Beyond Workshop (B&B)	
A. P. Ambrósio	2014	CONF	2014 IEEE Frontiers in Education Conference (FIE) Proceedings	
A. K. Ng	2021	CONF	2021 IEEE Frontiers in Education Conference (FIE)	
S. Zhang	2021	CONF	2021 IEEE International Conference on Engineering, Technology & Education (TALE)	
B. Kalluri	2024	JOUR	IEEE Transactions on Education	
H. Liu	2023	JOUR	IEEE Transactions on Games	
C. A. Gomes	2022	CONF	2022 International Symposium on Computers in Education (SIIE)	
X. Zhang	2024	CONF	2024 IEEE Global Engineering Education Conference (EDUCON)	
F. Machuqueiro	2023	CONF	2023 International Symposium on Computers in Education (SIIE)	
S. Hug	2018	CONF	2018 Research on Equity and Sustained Participation in Engineering, Computing, and Technology (RESPECT)	
P. Garcia	2020	CONF	2020 Research on Equity and Sustained Participation in Engineering, Computing, and Technology (RESPECT)	
J. Shen	2021	CONF	2021 14th International Symposium on Computational Intelligence and Design (ISCID)	
P. Ciancarini	2023	CONF	2023 IEEE 35th International Conference on Software Engineering Education and Training (CSEE&T)	
E. P. S. Baumer	2009	CONF	2009 International Conference on Computational Science and Engineering	
R. Trujillo-Cabezas	2022	CONF	2022 17th Iberian Conference on Information Systems and Technologies (CISTI)	
C. Wang	2023	CONF	2023 International Conference on Advanced Mechatronic Systems (ICAMechS)	
Wartika	2023	CONF	2023 International Conference on Informatics Engineering, Science & Technology (INCITEST)	
J. H. Núñez	2021	CONF	2021 International Symposium on Accreditation of Engineering and Computing Education (ICACIT)	
H. Saleh	2017	CONF	2017 27th International Conference on Computer Theory and Applications (ICCTA)	
X. P. I. Palomés	2024	CONF	2024 IEEE Global Engineering Education Conference (EDUCON)	
H. M. Jamil	2017	CONF	2017 IEEE 17th International Conference on Advanced Learning Technologies (ICALT)	
H. C. Webb	2011	CONF	2011 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)	
H. M. Jamil	2022	CONF	2022 International Conference on Advanced Learning Technologies (ICALT)	
S. X. Yin	2022	CONF	2022 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)	
H. Cai	2022	CONF	2022 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)	
C. -K. Chang	2017	CONF	2017 6th IIAI International Congress on Advanced Applied Informatics (IIAI-AAI)	
S. Gross	2014	CONF	2014 IEEE Global Engineering Education Conference (EDUCON)	
K. Howland	2009	CONF	2009 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)	
R. A. Fiorini	2016	CONF	2016 IEEE 15th International Conference on Cognitive Informatics & Cognitive Computing (ICCI*CC)	
S. Jacob	2023	CONF	2023 Conference on Research in Equitable and Sustained Participation in Engineering, Computing, and Technology (RESPECT)	
A. Ouaazki	2023	CONF	2023 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)	
P. Saariluoma	2021	CONF	2021 IEEE 4th International Conference on Computing, Power and Communication Technologies (GUCON)	
F. Pires	2019	CONF	2019 IEEE 19th International Conference on Advanced Learning Technologies (ICALT)	
N. P. Whitehead	2015	JOUR	IEEE Systems Journal	
D. R. Romadhon	2023	CONF	2023 11th International Conference on Cyber and IT Service Management (CITSM)	
S. De	2020	CONF	2020 Sixth International Conference on Parallel, Distributed and Grid Computing (PDGC)	
L. Wang	2024	JOUR	IEEE Access	
J. Á. Velázquez-Iturbied	2018	CONF	2018 International Symposium on Computers in Education (SIIE)	
S. Feng	2021	CONF	2021 IEEE Frontiers in Education Conference (FIE)	
B. Fradi	2022	CONF	2022 IEEE Global Engineering Education Conference (EDUCON)	
A. Krakowski	2021	CONF	2021 Conference on Research in Equitable and Sustained Participation in Engineering, Computing, and Technology (RESPECT)	
Z. Xie	2022	CONF	2022 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)	
C. Cachero	2020	JOUR	IEEE Access	
P. Silapachote	2024	CONF	2024 IEEE Global Engineering Education Conference (EDUCON)	
C. Wang	2022	CONF	2022 IEEE Frontiers in Education Conference (FIE)	
C. -K. Chang	2011	CONF	The 7th International Conference on Digital Content, Multimedia Technology and its Applications	
E. C. Oliveira	2022	CONF	2022 IEEE Global Engineering Education Conference (EDUCON)	
E. J. F. Costa	2019	CONF	2019 IEEE Frontiers in Education Conference (FIE)	
R. Herrero-Álvarez	2023	JOUR	IEEE Transactions on Emerging Topics in Computing	
K. Falkner	2018	CONF	2018 International Conference on Learning and Teaching in Computing and Engineering (LaTICE)	
Y. Anistyasari	2021	CONF	2021 International e-Engineering Education Services Conference (e-Engineering)	
T. Wu	2021	CONF	2021 IEEE International Conference on Educational Technology (ICET)	
Z. Lin	2020	CONF	2020 Ninth International Conference of Educational Innovation through Technology (EITT)	
B. Khayut	2022	CONF	2022 International Conference on INnovations in Intelligent SysTems and Applications (INISTA)	
S. Jacob	2020	CONF	2020 Research on Equity and Sustained Participation in Engineering, Computing, and Technology (RESPECT)	
S. Arwatchananukul	2021	CONF	2021 Joint International Conference on Digital Arts, Media and Technology with ECTI Northern Section Conference on Electrical, Electronics, Computer and Telecommunication Engineering	
C. P. Singh	2023	CONF	2023 4th International Conference on Computation, Automation and Knowledge Management (ICCAKM)	
M. Csernoch	2021	JOUR	IEEE Access	
L. Echeverría	2019	CONF	2019 IEEE Global Engineering Education Conference (EDUCON)	
D. Hemin	2021	CONF	2021 26th International Conference on Automation and Computing (ICAC)	
F. González	2018	CONF	2018 37th International Conference of the Chilean Computer Science Society (SCCC)	
E. Halim	2022	CONF	2022 IEEE International Conference on Cybernetics and Computational Intelligence (CyberneticsCom)	
K. H. Koh	2010	CONF	2010 IEEE Symposium on Visual Languages and Human-Centric Computing	
M. Stella	2021	JOUR	Journal of Complex Networks	
B. Ben Youssef	2012	CONF	2012 2nd Interdisciplinary Engineering Design Education Conference (IEDEC)	
L. Rakhmawati	2022	CONF	2022 Fifth International Conference on Vocational Education and Electrical Engineering (ICVEE)	
R. Delgado	2019	CONF	2019 14th Iberian Conference on Information Systems and Technologies (CISTI)	
R. Vinayakumar	2018	CONF	2018 9th International Conference on Computing, Communication and Networking Technologies (ICCCNT)	
A. K. Ng	2023	CONF	2023 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)	
J. A. Jiménez Toledo	2023	JOUR	IEEE Revista Iberoamericana de Tecnologias del Aprendizaje	
E. C. Juárez	2022	CONF	2022 IEEE Frontiers in Education Conference (FIE)	
A. Aroonsiwagool	2021	CONF	2021 2nd SEA-STEM International Conference (SEA-STEM)	
A. Gardeli	2019	CONF	2019 11th International Conference on Virtual Worlds and Games for Serious Applications (VS-Games)	
L. Zou	2015	CONF	2015 21st International Conference on Automation and Computing (ICAC)	
A. A. Jumana	2023	CONF	2023 6th International Conference on Information and Communications Technology (ICOIACT)	
K. G. Herbert-Berger	2022	CONF	2022 IEEE Integrated STEM Education Conference (ISEC)	
S. Ozawa	2014	CONF	2014 IEEE International Conference on Bioinformatics and Biomedicine (BIBM)	
W. Underwood	2018	CONF	2018 IEEE International Conference on Big Data (Big Data)	
S. Zhang	2022	CONF	2022 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)	
Y. Li	2014	CONF	2014 IEEE Frontiers in Education Conference (FIE) Proceedings	
W. Chun-Hong	2011	CONF	2011 IEEE 3rd International Conference on Communication Software and Networks	
F. Alegre	2020	CONF	2020 Research on Equity and Sustained Participation in Engineering, Computing, and Technology (RESPECT)	
A. Barrett	2022	CONF	2022 8th International Conference of the Immersive Learning Research Network (iLRN)	
Peter J. Denning	2019	CHAP	 	
Q. Li	2023	CONF	2023 IEEE Conference on Artificial Intelligence (CAI)	
F. Sattar	2024	CONF	2024 IEEE Global Engineering Education Conference (EDUCON)	
K. -C. Yeh	2011	CONF	2011 Frontiers in Education Conference (FIE)	
X. Wang	2023	CONF	2023 IEEE Integrated STEM Education Conference (ISEC)	
N. Pellas	2017	CONF	2017 IEEE Global Engineering Education Conference (EDUCON)	
M. Altaher	2018	CONF	2018 JCCO Joint International Conference on ICT in Education and Training, International Conference on Computing in Arabic, and International Conference on Geocomputing (JCCO: TICET-ICCA-GECO)	
W. Underwood	2023	CONF	2023 IEEE International Conference on Big Data (BigData)	
M. Fukui	2024	CONF	2024 IEEE 12th International Conference on Serious Games and Applications for Health (SeGAH)	
C. Mercier	2021	CONF	2021 IEEE International Conference on Development and Learning (ICDL)	
D. S. Silva	2021	CONF	2021 XVI Latin American Conference on Learning Technologies (LACLO)	
M. L. Raia	2023	CONF	2023 18th Iberian Conference on Information Systems and Technologies (CISTI)	
R. Araújo	2015	CONF	2015 15th International Conference on Computational Science and Its Applications	
S. Kim	2009	CONF	2009 Fifth International Joint Conference on INC, IMS and IDC	
Peter J. Denning	2019	CHAP	 	
J. Liu	2011	CONF	2011 12th International Conference on Computer-Aided Design and Computer Graphics	
X. Huang	2018	CONF	2018 Chinese Automation Congress (CAC)	
H. Chateau-Laurent	2021	CONF	2021 IEEE 20th International Conference on Cognitive Informatics & Cognitive Computing (ICCI*CC)	
T. Jagušt	2018	CONF	2018 IEEE Frontiers in Education Conference (FIE)	
Y. Du	2020	CONF	2020 International Symposium on Advances in Informatics, Electronics and Education (ISAIEE)	
F. González-Pizarro	2024	JOUR	IEEE Transactions on Education	
N. V. Mendoza Diaz	2020	CONF	2020 IEEE Frontiers in Education Conference (FIE)	
Â. M. de Jesus	2020	CONF	2020 XV Conferencia Latinoamericana de Tecnologias de Aprendizaje (LACLO)	
D. Russo	2018	CONF	2018 IEEE/ACM 40th International Conference on Software Engineering: Companion (ICSE-Companion)	
T. Havlásková	2019	CONF	2019 17th International Conference on Emerging eLearning Technologies and Applications (ICETA)	
Jingye Qu	2014	CONF	2014 IEEE Workshop on Advanced Research and Technology in Industry Applications (WARTIA)	
M. Lewis	2024	CONF	2024 Black Issues in Computing Education (BICE)	
F. Xu	2021	CONF	2021 IEEE Integrated STEM Education Conference (ISEC)	
C. Zhu	2023	CONF	2023 IEEE Frontiers in Education Conference (FIE)	
A. M. d. S. Esteves	2019	CONF	2019 21st Symposium on Virtual and Augmented Reality (SVR)	
Y. Wang	2023	CONF	2023 5th International Conference on Computer Science and Technologies in Education (CSTE)	
W. Song	2023	CONF	2023 16th International Symposium on Computational Intelligence and Design (ISCID)	
M. J. Mohammadi-Aragh	2022	CONF	2022 IEEE Frontiers in Education Conference (FIE)	
J. Maiyuran	2019	CONF	2019 IEEE Learning With MOOCS (LWMOOCS)	
Yan Cui	2010	CONF	2010 3rd International Conference on Advanced Computer Theory and Engineering(ICACTE)	
M. L. Lupetti	2022	CONF	2022 17th ACM/IEEE International Conference on Human-Robot Interaction (HRI)	
L. S. Riza	2018	CONF	2018 2nd East Indonesia Conference on Computer and Information Technology (EIConCIT)	
C. Vieira	2023	CONF	2023 IEEE Frontiers in Education Conference (FIE)	
M. Zapata-C&#x00E1;ceres	2021	JOUR	IEEE Transactions on Learning Technologies	
N. Nesiba	2015	CONF	2015 IEEE Frontiers in Education Conference (FIE)	
B. -H. Chen	2021	CONF	2021 International Conference on Technologies and Applications of Artificial Intelligence (TAAI)	
C. Kazimoglu	2020	JOUR	IEEE Access	
P. Silapachote	2016	CONF	2016 IEEE International Conference on Teaching, Assessment, and Learning for Engineering (TALE)	
R. P. Curasma	2021	CONF	2021 XVI Latin American Conference on Learning Technologies (LACLO)	
A. Scaico	2021	CONF	2021 XVI Latin American Conference on Learning Technologies (LACLO)	
X. J. Li	2024	CONF	2024 6th International Conference on Computer Science and Technologies in Education (CSTE)	
L. A. Beatriz	2022	CONF	2022 XVII Latin American Conference on Learning Technologies (LACLO)	
